id_viaje,hora_pico,dia_semana,troncal,evento_especial,condicion_clima,retraso_significativo
133,0,Lunes,Caracas,0,Lluvia,0
134,1,Martes,Suba,0,Lluvia,1
135,0,Jueves,Suba,0,Nublado,0
136,0,Lunes,Calle 80,1,Nublado,0
137,1,Lunes,Caracas,0,Nublado,0
138,1,Domingo,Suba,0,Nublado,0
139,0,Domingo,Autonorte,0,Soleado,0
140,0,Jueves,Calle 80,0,Soleado,0
141,0,Jueves,Americas,0,Lluvia,0
142,0,Jueves,NQS,0,Soleado,1
143,0,Sábado,Calle 26,0,Nublado,0
144,0,Jueves,Suba,0,Lluvia,1
145,1,Jueves,Autonorte,0,Nublado,0
146,0,Lunes,Calle 26,0,Soleado,0
147,1,Lunes,Calle 80,0,Nublado,1
148,0,Viernes,Calle 26,0,Nublado,0
149,0,Sábado,Suba,0,Soleado,0
150,1,Martes,Autonorte,0,Lluvia,1
151,0,Jueves,Americas,0,Lluvia,0
152,0,Miércoles,Americas,0,Lluvia,0
153,0,Martes,Eldorado,1,Lluvia,0
154,0,Sábado,NQS,0,Soleado,1
155,1,Martes,Calle 26,0,Lluvia,0
156,0,Jueves,Calle 26,0,Nublado,0
157,0,Miércoles,Americas,0,Soleado,0
158,0,Martes,NQS,0,Lluvia,1
159,0,Viernes,Eldorado,0,Soleado,0
160,0,Domingo,Suba,0,Soleado,0
161,1,Viernes,Americas,0,Lluvia,1
162,0,Viernes,Americas,0,Soleado,1
163,0,Martes,Eldorado,0,Lluvia,0
164,1,Jueves,NQS,0,Lluvia,1
165,0,Viernes,Eldorado,0,Lluvia,1
166,0,Domingo,Americas,0,Nublado,0
167,0,Viernes,Calle 80,1,Nublado,1
168,0,Martes,NQS,0,Lluvia,0
169,1,Domingo,NQS,0,Lluvia,1
170,1,Viernes,Eldorado,0,Soleado,1
171,0,Jueves,Calle 80,0,Nublado,0
172,0,Viernes,Americas,0,Soleado,1
173,1,Miércoles,Autonorte,0,Soleado,1
174,0,Martes,Caracas,0,Nublado,0
175,1,Domingo,Eldorado,0,Lluvia,1
176,0,Jueves,Calle 26,0,Lluvia,1
177,1,Lunes,Calle 80,0,Soleado,1
178,0,Viernes,NQS,0,Lluvia,0
179,0,Viernes,Calle 80,0,Nublado,0
180,0,Martes,Americas,1,Nublado,1
181,1,Martes,Eldorado,0,Lluvia,1
182,0,Viernes,Suba,0,Soleado,1
183,0,Miércoles,NQS,0,Soleado,1
184,1,Miércoles,Calle 26,0,Soleado,0
185,0,Lunes,NQS,0,Lluvia,1
186,0,Lunes,NQS,0,Soleado,1
187,0,Lunes,Calle 26,0,Lluvia,0
188,0,Viernes,NQS,1,Lluvia,1
189,1,Viernes,Autonorte,0,Soleado,1
190,1,Lunes,Caracas,0,Nublado,1
191,0,Domingo,Autonorte,0,Lluvia,1
192,1,Miércoles,Caracas,0,Nublado,0
193,1,Miércoles,Calle 80,0,Lluvia,1
194,0,Miércoles,Caracas,0,Soleado,0
195,1,Lunes,NQS,0,Nublado,1
196,1,Lunes,Caracas,0,Soleado,0
197,1,Lunes,Suba,0,Soleado,0
198,1,Miércoles,Americas,0,Nublado,0
199,0,Viernes,Calle 80,0,Nublado,0
200,1,Lunes,Calle 80,0,Lluvia,1
201,0,Martes,Calle 80,1,Lluvia,1
202,0,Viernes,Calle 26,0,Nublado,0
203,0,Sábado,Calle 80,0,Soleado,0
204,1,Martes,Americas,0,Soleado,1
205,0,Lunes,Eldorado,0,Lluvia,0
206,1,Miércoles,Eldorado,0,Lluvia,1
207,0,Martes,Autonorte,0,Soleado,0
208,0,Lunes,Americas,0,Nublado,0
209,0,Lunes,Eldorado,0,Nublado,0
210,0,Miércoles,Calle 26,0,Nublado,0
211,0,Lunes,Suba,0,Nublado,0
212,1,Jueves,Autonorte,0,Lluvia,0
213,0,Sábado,Calle 26,0,Nublado,0
214,0,Domingo,Autonorte,0,Lluvia,1
215,0,Lunes,Eldorado,0,Lluvia,1
216,0,Domingo,NQS,0,Lluvia,1
217,0,Lunes,Autonorte,0,Nublado,0
218,1,Sábado,Suba,0,Soleado,0
219,0,Martes,Caracas,0,Lluvia,1
220,1,Jueves,Suba,0,Nublado,0
221,0,Miércoles,NQS,0,Soleado,0
222,0,Jueves,NQS,0,Nublado,0
223,0,Viernes,Calle 26,0,Nublado,1
224,0,Domingo,NQS,0,Nublado,0
225,1,Martes,Calle 26,0,Lluvia,1
226,1,Viernes,NQS,0,Nublado,0
227,0,Sábado,Calle 26,0,Nublado,0
228,1,Jueves,Caracas,0,Soleado,1
229,0,Miércoles,Calle 80,0,Soleado,0
230,0,Lunes,NQS,0,Nublado,0
231,0,Domingo,Calle 80,0,Lluvia,0
232,0,Miércoles,Eldorado,0,Soleado,0
233,1,Miércoles,Americas,0,Nublado,1
234,0,Miércoles,Calle 80,0,Soleado,0
235,0,Jueves,Calle 80,0,Lluvia,0
236,0,Domingo,Eldorado,0,Nublado,0
237,0,Domingo,Calle 26,0,Soleado,0
238,0,Lunes,Calle 80,0,Nublado,0
239,0,Lunes,Calle 26,0,Nublado,0
240,0,Domingo,NQS,0,Lluvia,0
241,1,Viernes,Suba,0,Soleado,1
242,1,Sábado,Caracas,0,Soleado,0
243,1,Miércoles,Calle 80,0,Soleado,0
244,0,Martes,Caracas,0,Lluvia,1
245,1,Jueves,Calle 80,0,Nublado,1
246,0,Martes,Autonorte,0,Soleado,0
247,1,Viernes,Suba,0,Nublado,1
248,0,Sábado,Eldorado,0,Lluvia,0
249,1,Sábado,Calle 80,1,Lluvia,1
250,0,Miércoles,Autonorte,0,Lluvia,0
251,0,Sábado,Suba,0,Nublado,0
252,0,Jueves,Caracas,0,Lluvia,0
253,0,Miércoles,Calle 80,0,Soleado,0
254,0,Sábado,Eldorado,0,Lluvia,0
255,0,Martes,Caracas,0,Lluvia,0
256,1,Martes,Autonorte,0,Soleado,1
257,1,Domingo,Autonorte,0,Soleado,0
258,0,Lunes,Autonorte,0,Soleado,0
259,0,Sábado,NQS,0,Soleado,0
260,0,Martes,Americas,0,Lluvia,1
261,1,Miércoles,Caracas,1,Lluvia,1
262,0,Martes,Calle 80,0,Lluvia,1
263,0,Jueves,Calle 26,0,Lluvia,1
264,0,Viernes,Caracas,0,Nublado,0
265,0,Jueves,Caracas,1,Soleado,0
266,1,Domingo,Suba,0,Soleado,0
267,0,Jueves,Caracas,0,Soleado,0
268,0,Lunes,Suba,0,Nublado,0
269,1,Miércoles,Eldorado,0,Lluvia,1
270,0,Domingo,Eldorado,0,Lluvia,0
271,0,Viernes,Calle 80,0,Soleado,1
272,1,Jueves,Calle 80,0,Nublado,0
273,1,Martes,Eldorado,0,Soleado,0
274,0,Sábado,Autonorte,0,Soleado,0
275,1,Jueves,NQS,0,Nublado,1
276,0,Jueves,Autonorte,0,Lluvia,0
277,1,Lunes,Americas,0,Soleado,0
278,1,Domingo,NQS,0,Lluvia,1
279,0,Miércoles,Calle 80,0,Nublado,0
280,0,Sábado,Calle 26,0,Soleado,0
281,1,Miércoles,Caracas,0,Lluvia,1
282,0,Miércoles,Calle 26,0,Lluvia,0
283,1,Domingo,Eldorado,0,Lluvia,0
284,1,Domingo,NQS,0,Soleado,0
285,0,Viernes,Autonorte,0,Lluvia,0
286,0,Viernes,Autonorte,0,Nublado,1
287,0,Sábado,Calle 80,0,Soleado,0
288,0,Domingo,Suba,0,Nublado,0
289,0,Miércoles,Calle 80,0,Lluvia,0
290,1,Martes,Americas,0,Nublado,0
291,1,Martes,Suba,0,Soleado,1
292,1,Sábado,Americas,0,Soleado,0
293,0,Lunes,Calle 80,0,Soleado,0
294,0,Jueves,Americas,0,Soleado,0
295,0,Martes,Calle 26,0,Nublado,0
296,1,Martes,NQS,0,Soleado,1
297,1,Miércoles,Calle 80,1,Nublado,1
298,0,Martes,Americas,0,Soleado,1
299,0,Sábado,Suba,0,Lluvia,1
300,1,Lunes,Caracas,0,Lluvia,1
301,1,Jueves,Americas,0,Lluvia,0
302,0,Viernes,Eldorado,0,Nublado,0
303,0,Domingo,Calle 26,0,Lluvia,0
304,0,Martes,Suba,0,Nublado,0
305,1,Sábado,NQS,0,Soleado,0
306,1,Miércoles,Eldorado,0,Nublado,1
307,0,Viernes,NQS,1,Soleado,1
308,0,Martes,Eldorado,0,Nublado,0
309,0,Miércoles,Autonorte,0,Lluvia,0
310,1,Martes,Eldorado,0,Soleado,0
311,0,Jueves,Eldorado,0,Soleado,0
312,1,Miércoles,Calle 80,0,Lluvia,1
313,0,Domingo,Calle 80,0,Lluvia,0
314,0,Domingo,Americas,0,Nublado,0
315,1,Sábado,Suba,0,Lluvia,0
316,1,Martes,NQS,0,Soleado,0
317,0,Miércoles,Calle 80,0,Lluvia,0
318,0,Lunes,NQS,0,Lluvia,0
319,0,Lunes,Calle 80,0,Nublado,0
320,0,Martes,NQS,1,Lluvia,0
321,1,Jueves,Eldorado,0,Soleado,1
322,1,Sábado,Calle 80,0,Lluvia,1
323,1,Miércoles,Calle 26,0,Nublado,1
324,0,Jueves,Calle 80,0,Soleado,0
325,0,Lunes,NQS,0,Nublado,1
326,0,Viernes,Suba,0,Lluvia,1
327,1,Jueves,Calle 26,1,Nublado,1
328,1,Sábado,Eldorado,0,Nublado,0
329,0,Sábado,NQS,0,Nublado,0
330,0,Lunes,Caracas,0,Nublado,0
331,1,Jueves,Eldorado,0,Lluvia,1
332,0,Domingo,Calle 26,0,Lluvia,1
333,0,Jueves,Calle 80,0,Soleado,1
334,0,Sábado,Americas,0,Nublado,0
335,1,Miércoles,NQS,0,Nublado,1
336,1,Jueves,Caracas,0,Lluvia,1
337,0,Miércoles,NQS,0,Nublado,0
338,0,Sábado,Autonorte,0,Nublado,0
339,1,Sábado,Autonorte,0,Soleado,0
340,1,Miércoles,Suba,0,Nublado,0
341,1,Sábado,Autonorte,1,Nublado,1
342,1,Viernes,Eldorado,0,Lluvia,1
343,1,Domingo,NQS,0,Nublado,0
344,1,Martes,NQS,0,Lluvia,1
345,1,Martes,Calle 26,0,Soleado,1
346,1,Jueves,NQS,0,Lluvia,1
347,0,Miércoles,Autonorte,0,Lluvia,0
348,0,Domingo,Americas,1,Lluvia,1
349,1,Jueves,Eldorado,0,Nublado,0
350,0,Domingo,Caracas,1,Nublado,1
351,0,Viernes,Americas,1,Soleado,1
352,0,Miércoles,Caracas,0,Nublado,0
353,0,Miércoles,Suba,0,Lluvia,0
354,0,Jueves,Suba,0,Lluvia,0
355,1,Miércoles,NQS,1,Nublado,1
356,0,Viernes,Calle 26,0,Soleado,0
357,1,Sábado,Eldorado,0,Soleado,1
358,0,Sábado,Suba,0,Nublado,0
359,0,Miércoles,Autonorte,0,Lluvia,0
360,0,Jueves,Americas,0,Nublado,0
361,0,Miércoles,Calle 26,0,Lluvia,0
362,0,Viernes,Eldorado,0,Lluvia,0
363,1,Viernes,Americas,0,Lluvia,1
364,0,Martes,Autonorte,0,Lluvia,1
365,1,Lunes,Suba,0,Nublado,0
366,0,Lunes,Suba,0,Nublado,0
367,0,Sábado,NQS,0,Soleado,0
368,1,Miércoles,Eldorado,0,Lluvia,1
369,0,Sábado,Autonorte,0,Lluvia,0
370,1,Lunes,Calle 80,0,Nublado,0
371,0,Jueves,Eldorado,0,Soleado,0
372,0,Miércoles,NQS,0,Lluvia,0
373,1,Viernes,Calle 80,0,Nublado,0
374,1,Miércoles,Calle 26,0,Lluvia,1
375,0,Lunes,Autonorte,0,Soleado,0
376,1,Jueves,Suba,0,Nublado,0
377,0,Viernes,Calle 26,0,Soleado,0
378,0,Miércoles,Autonorte,0,Lluvia,0
379,1,Sábado,Suba,0,Lluvia,1
380,1,Viernes,NQS,0,Soleado,1
381,1,Miércoles,Autonorte,0,Soleado,0
382,1,Domingo,Calle 26,0,Lluvia,1
383,0,Lunes,Suba,0,Lluvia,0
384,0,Sábado,Calle 80,0,Nublado,0
385,0,Jueves,Eldorado,0,Soleado,0
386,1,Martes,Caracas,0,Soleado,1
387,0,Viernes,Caracas,0,Nublado,0
388,0,Miércoles,NQS,0,Nublado,0
389,0,Domingo,Eldorado,0,Nublado,0
390,0,Miércoles,NQS,0,Nublado,0
391,1,Domingo,Calle 26,0,Lluvia,0
392,1,Viernes,NQS,0,Nublado,1
393,1,Jueves,Americas,0,Nublado,0
394,0,Sábado,Eldorado,0,Lluvia,1
395,0,Domingo,Eldorado,0,Lluvia,1
396,0,Lunes,Suba,0,Soleado,1
397,1,Viernes,Americas,0,Nublado,1
398,0,Jueves,Eldorado,0,Lluvia,1
399,0,Jueves,Suba,0,Nublado,0
400,1,Sábado,Eldorado,0,Nublado,0
401,1,Sábado,Eldorado,0,Lluvia,0
402,1,Domingo,Suba,0,Nublado,1
403,1,Viernes,Calle 80,0,Lluvia,1
404,1,Viernes,Calle 80,0,Soleado,1
405,0,Martes,Autonorte,0,Nublado,1
406,1,Martes,NQS,0,Soleado,1
407,1,Jueves,Autonorte,0,Soleado,1
408,0,Martes,Suba,0,Lluvia,1
409,1,Lunes,Americas,0,Nublado,0
410,0,Lunes,Calle 80,0,Lluvia,1
411,0,Lunes,Calle 26,1,Lluvia,1
412,1,Viernes,Suba,0,Soleado,0
413,0,Miércoles,Caracas,0,Lluvia,0
414,0,Sábado,Caracas,0,Soleado,0
415,0,Domingo,Calle 26,0,Soleado,0
416,1,Sábado,Autonorte,0,Lluvia,1
417,0,Miércoles,Americas,0,Nublado,0
418,1,Martes,NQS,0,Lluvia,0
419,1,Domingo,Eldorado,0,Nublado,0
420,0,Miércoles,Caracas,0,Soleado,0
421,0,Lunes,Eldorado,0,Lluvia,0
422,1,Sábado,NQS,0,Lluvia,1
423,1,Martes,Americas,0,Nublado,1
424,0,Viernes,Calle 26,0,Soleado,0
425,0,Lunes,Calle 80,0,Lluvia,0
426,0,Lunes,Calle 26,0,Nublado,0
427,1,Lunes,Autonorte,0,Soleado,0
428,0,Domingo,Autonorte,0,Lluvia,1
429,1,Viernes,Eldorado,0,Soleado,1
430,0,Lunes,Calle 26,0,Nublado,0
431,0,Domingo,Calle 80,0,Nublado,0
432,1,Jueves,Suba,0,Soleado,0
433,0,Sábado,Eldorado,0,Soleado,0
434,0,Sábado,NQS,0,Soleado,1
435,0,Jueves,Calle 80,0,Nublado,0
436,0,Martes,Americas,0,Soleado,0
437,1,Sábado,Calle 26,0,Soleado,0
438,0,Jueves,Calle 26,0,Lluvia,0
439,0,Sábado,Eldorado,0,Lluvia,1
440,0,Miércoles,Caracas,0,Soleado,0
441,1,Miércoles,Autonorte,0,Lluvia,0
442,0,Lunes,NQS,0,Nublado,0
443,0,Domingo,Suba,0,Soleado,0
444,0,Sábado,Eldorado,0,Soleado,0
445,0,Domingo,Autonorte,0,Soleado,0
446,1,Sábado,Autonorte,0,Soleado,0
447,1,Domingo,Calle 80,0,Nublado,0
448,0,Sábado,NQS,0,Lluvia,0
449,1,Viernes,Autonorte,0,Soleado,1
450,0,Sábado,Calle 80,0,Nublado,0
451,0,Lunes,Suba,0,Nublado,0
452,1,Martes,Eldorado,0,Soleado,1
453,1,Lunes,Autonorte,0,Lluvia,1
454,0,Viernes,NQS,0,Soleado,0
455,0,Lunes,Americas,0,Lluvia,0
456,0,Domingo,NQS,0,Lluvia,0
457,0,Martes,Caracas,0,Lluvia,0
458,0,Domingo,Calle 80,0,Lluvia,0
459,1,Sábado,Caracas,0,Nublado,1
460,0,Viernes,Calle 26,0,Lluvia,0
461,1,Lunes,NQS,0,Nublado,1
462,0,Domingo,Calle 80,0,Nublado,0
463,0,Viernes,Suba,0,Lluvia,1
464,1,Domingo,Caracas,0,Soleado,0
465,0,Miércoles,Autonorte,0,Soleado,0
466,0,Miércoles,Eldorado,0,Nublado,0
467,0,Lunes,Eldorado,0,Nublado,0
468,1,Lunes,Caracas,0,Soleado,1
469,1,Domingo,NQS,0,Soleado,0
470,1,Miércoles,Suba,0,Lluvia,0
471,0,Miércoles,Calle 80,0,Lluvia,0
472,1,Miércoles,NQS,0,Nublado,0
473,0,Lunes,Calle 26,0,Nublado,0
474,1,Lunes,Autonorte,0,Soleado,1
475,0,Jueves,Calle 80,0,Soleado,0
476,1,Domingo,Caracas,0,Soleado,0
477,0,Viernes,Suba,0,Soleado,1
478,0,Sábado,Calle 26,0,Nublado,0
479,0,Miércoles,Autonorte,0,Lluvia,0
480,0,Viernes,Calle 26,0,Nublado,0
481,1,Lunes,Calle 80,0,Lluvia,1
482,0,Viernes,Autonorte,0,Lluvia,0
483,1,Jueves,Suba,0,Lluvia,1
484,0,Lunes,Calle 80,0,Nublado,0
485,1,Viernes,Americas,0,Lluvia,1
486,0,Domingo,Calle 26,0,Lluvia,0
487,1,Lunes,Calle 26,0,Lluvia,1
488,0,Miércoles,Calle 80,0,Lluvia,0
489,1,Martes,Autonorte,0,Lluvia,1
490,1,Sábado,Calle 80,0,Nublado,0
491,1,Martes,Suba,0,Lluvia,1
492,0,Lunes,Calle 26,1,Soleado,0
493,0,Viernes,Autonorte,0,Soleado,0
494,0,Jueves,Caracas,0,Lluvia,0
495,0,Martes,Caracas,0,Lluvia,1
496,1,Jueves,Caracas,0,Lluvia,0
497,1,Sábado,Caracas,0,Lluvia,1
498,1,Domingo,Eldorado,0,Lluvia,0
499,0,Sábado,Suba,0,Soleado,0
500,1,Martes,Americas,0,Soleado,1
501,0,Miércoles,Americas,0,Nublado,0
502,1,Miércoles,Suba,0,Nublado,0
503,0,Martes,Autonorte,0,Nublado,0
504,0,Lunes,Calle 26,0,Lluvia,0
505,0,Lunes,Eldorado,0,Nublado,0
506,0,Lunes,Eldorado,0,Nublado,0
507,1,Lunes,Autonorte,0,Lluvia,1
508,0,Viernes,Eldorado,0,Nublado,0
509,1,Sábado,Caracas,0,Soleado,0
510,0,Lunes,NQS,0,Nublado,0
511,0,Domingo,Caracas,0,Nublado,0
512,0,Lunes,Eldorado,0,Soleado,0
513,1,Jueves,Eldorado,0,Nublado,0
514,0,Domingo,NQS,0,Lluvia,0
515,0,Miércoles,Calle 26,0,Soleado,0
516,1,Sábado,NQS,0,Lluvia,1
517,1,Viernes,Calle 26,0,Lluvia,0
518,0,Domingo,Calle 80,0,Lluvia,1
519,0,Domingo,Suba,0,Soleado,0
520,0,Martes,NQS,0,Nublado,1
521,1,Viernes,Suba,0,Lluvia,0
522,1,Martes,Autonorte,0,Soleado,1
523,0,Miércoles,Americas,1,Nublado,0
524,0,Martes,Suba,0,Nublado,0
525,0,Domingo,Autonorte,0,Lluvia,0
526,1,Viernes,Calle 26,0,Nublado,0
527,0,Martes,Caracas,0,Soleado,0
528,0,Sábado,Caracas,0,Lluvia,0
529,1,Martes,Eldorado,1,Lluvia,1
530,0,Lunes,Americas,0,Nublado,0
531,1,Domingo,Autonorte,0,Soleado,0
532,0,Jueves,Caracas,0,Soleado,1
533,0,Lunes,Suba,0,Lluvia,0
534,0,Martes,Calle 80,0,Nublado,0
535,0,Jueves,Calle 26,0,Lluvia,0
536,0,Martes,Calle 80,0,Nublado,0
537,0,Jueves,Autonorte,0,Soleado,0
538,0,Viernes,Suba,0,Nublado,0
539,0,Lunes,Autonorte,0,Lluvia,0
540,0,Viernes,Suba,0,Soleado,0
541,1,Domingo,Autonorte,0,Soleado,0
542,0,Sábado,Calle 80,0,Soleado,0
543,0,Jueves,NQS,0,Lluvia,1
544,0,Lunes,Calle 80,0,Nublado,0
545,0,Sábado,Calle 26,1,Lluvia,1
546,0,Jueves,Autonorte,0,Soleado,0
547,0,Martes,Eldorado,0,Lluvia,0
548,0,Domingo,Suba,0,Soleado,1
549,1,Domingo,Autonorte,0,Lluvia,0
550,0,Sábado,Eldorado,0,Nublado,0
551,1,Martes,Caracas,0,Nublado,0
552,0,Jueves,NQS,0,Nublado,1
553,0,Jueves,Eldorado,0,Soleado,1
554,0,Viernes,Suba,0,Soleado,0
555,1,Jueves,Suba,0,Nublado,0
556,0,Domingo,NQS,0,Lluvia,1
557,0,Lunes,Calle 80,0,Soleado,0
558,0,Domingo,Eldorado,0,Soleado,0
559,0,Viernes,Eldorado,0,Soleado,0
560,0,Viernes,Caracas,0,Nublado,0
561,0,Lunes,Eldorado,0,Soleado,0
562,0,Domingo,Calle 26,0,Lluvia,0
563,1,Sábado,Eldorado,0,Soleado,1
564,0,Martes,Calle 26,0,Soleado,0
565,1,Jueves,Suba,0,Lluvia,1
566,0,Lunes,Eldorado,0,Nublado,1
567,0,Martes,Americas,0,Lluvia,0
568,1,Sábado,Autonorte,1,Soleado,0
569,0,Domingo,Eldorado,0,Lluvia,0
570,1,Lunes,Eldorado,0,Nublado,0
571,1,Martes,Americas,0,Nublado,0
572,1,Martes,Suba,0,Nublado,0
573,0,Martes,Autonorte,0,Soleado,0
574,0,Lunes,Americas,0,Soleado,0
575,1,Martes,Eldorado,0,Nublado,1
576,0,Viernes,Suba,0,Nublado,0
577,1,Martes,Caracas,0,Nublado,0
578,1,Domingo,Eldorado,0,Lluvia,0
579,1,Sábado,Suba,0,Lluvia,0
580,0,Miércoles,NQS,0,Nublado,0
581,0,Miércoles,Calle 26,0,Soleado,0
582,0,Sábado,Suba,0,Soleado,0
583,0,Lunes,Calle 80,0,Lluvia,1
584,0,Domingo,Calle 26,0,Soleado,0
585,0,Sábado,Americas,0,Nublado,0
586,1,Domingo,Eldorado,0,Lluvia,1
587,1,Sábado,Autonorte,0,Lluvia,1
588,0,Viernes,Calle 26,0,Nublado,0
589,0,Lunes,NQS,0,Lluvia,0
590,1,Sábado,Calle 26,0,Lluvia,1
591,1,Sábado,Caracas,0,Soleado,1
